rank,title,author,price
1,프로젝트 헤일메리,앤디 위어,"19,800원"
2,안녕이라 그랬어,김애란,"15,120원"
3,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,"17,100원"
4,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,"16,650원"
5,인생을 위한 최소한의 생각,신영준,"17,820원"
6,2026 선재국어 최우선 봉투 모의고사,이선재,"22,500원"
7,흔한남매 22,흔한남매,"15,120원"
8,무례한 세상에서 나를 지키는 법,발타자르 그라시안,"17,820원"
9,니체의 초월자,프리드리히 니체,"15,210원"
10,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성,"19,800원"
11,지랄맞은 사춘기를 죽지 않고 통과하는 일,김선미,"17,100원"
12,완벽한 원시인,자청,"19,800원"
13,흔한남매 과학 탐험대 17 뇌와 호르몬,흔한남매,"15,120원"
14,주식 투자를 잘한다는 것,육과장,"19,800원"
15,괴테는 모든 것을 말했다,스즈키 유이,"15,300원"
16,에그박사 18,에그박사,"15,120원"
17,다정한 사람이 이긴다 (스페셜 리커버),이해인,"17,100원"
18,자몽살구클럽,한로로,"10,800원"
19,2026 제17회 젊은작가상 수상작품집,김채원,"6,930원"
20,향기로운 꽃은 늠름하게 핀다 19 더블특전판,미카미 사카,"5,400원"
21,처음 읽는 삼국지 4,이문열,"15,120원"
22,나의 완벽한 장례식,조현선,"17,100원"
23,부처님 말씀대로 살아보니,토니 페르난도,"17,010원"
24,피터케이의 이기는 투자 불변의 법칙,피터케이,"19,800원"
