user,comment
@achinichamika-e4j,1:19 Rose is confuse ready to sandwich
@achinichamika-e4j,1:07 Rose has really hungry this moment
@achinichamika-e4j,1:04 lisa cute dance with kuma
@achinichamika-e4j,I really missing blackPINK house
@achinichamika-e4j,Anyone in 2026??
@achinichamika-e4j,Lv yu so much my bp girls
@achinichamika-e4j,BlackPINK in your area
@RabinShiwa,제 생각에는 블랙핑크를 인도에서 누가 보고 있을까요? 저는 한국에서 보고 있어요.
@MsMohona-h6w7j,Cute jesso
@Fellah12,Jisoo and Jennie’s cute voice melted me
@SOMi-y2g,我好哦哇提出2026 2:07
@martolis9335,5:41 jisoo so cute
@mohammedshafiullah2218,Cute
@shadow_oprerative,Who watch this in 2026
@seoyeon_vibes15,rosé being the foodie since the beginning of this episode
@irfansiddique9265,I watch in 2025
@Zahhhh014,2026 Msih ada yg nonton ga nih
@reynanromo9878,장미만
@Aïchouche-z9b,Lisa est très adorable
@RahmaFahim-w7c,Wow
@AZWZOfficial,Find someone who looks at you like Rose looks at Toast.
@JK-gh7qz,I LOVE HOW CHAEYOUNG JUST CASUALLY SWITCHES BETWEEN KOREAN AND ENGLISH.
@banrikerlinnongrum6201,Jisoo look like a baby and cute
@bismahnaeem592,"I remember watching bp house  during late summer nights with not a care in the world, no academic pressure, no stress, the whole house was asleep I was watching this. It's so nostalgic and I wish I could go back."
@charisselacson9841,"5:00
Me:LITERALLY CANT GET OVER JISOO'S CUTE VOICE!!!!"
@kik_kian1701,"Jisoo sayin “Finally, I found something I’m good at”  it breaks my heart Jisooni you’re more than enough. We appreciate all your efforts! Fighting!"
@eleyn5818,Jisoo must be really hate shopping
@sssaaannnaa,블랙핑크 집 너무 귀여워요 여러분 너무 보고 싶어요 2025년에 누구세요?
@tutran8858,"Jisoo is very cute.
Jennie is gentle. 
Rosé always gets along with people. 
Lisa is happy."
@hutaowo750,"jisoo sounds so cute with helium, like a cute chipmunk"
@HelenaEndaya,"""Anyeong anyeong I'm Jisoo yah""
So cute"
@leoedi9975,when jisoo have bangs she look even more cute!!
@okta279,"1% Coment ohtres 
99% 5:00 Jisso Cute 
        great Love you"
@aceprincess544,"Jisoo and jennie's making cute voices, lisa speaking in english, Rose's adorable reactions on her toast bread and channie sweet moments. THERE are so precious."
@百合-r5o,Who's here after hearing blackpink sing jisoo's helium song after 3 years?
@RevaNair-e5w,In blackpink's debut days they are all so cute
@namilapluie,5:37 When Jisoo says goodbye to the balloon
@roslaaaaay2707,ROSE BEING HUNGRY WAS THE CUTEST THING I'VE EVER SEEN UGHH
@ΚΩΝΣΤΑΝΤΙΝΑΛΟΥΚΑ-τ1κ,5:00 I stan 4 year old kids!!!
@MineColak-sk5cz,2025년 1월 2일 블랙핑크 지순 팬사랑
@AVINESH-4T,5:52 aww so cute
@VenkateswariM-d7x,Kuku is a santa clause sooooo cute kuku
@manojsinghbhadauria9832,Anyone else in 2026
@AshaBanu-bh5mb,"I swear rose is. The. Cute st foodie. I have
Seen her. Love for. Food. Is just  adorable"
@VinaTahseen-g6f2e,ilove you black pink
@nehamalik5990,Rose  is so cute
@roopavasanth406,I love black pink
@MohiraMarksova,Woooooooow
@SafaZahira-j7z,rose?
@CharanpreetKaurDhiman,i am here to re watch my unnies
@waikeen1862,"it was an abandoned house,so sad"
@Sun-Moon-m2j,2026    (Love You Blackpink)
@dipankarchakraborty1520,4:59 Jisoo Voice so sweet
@SajithaBanu-x2d,Ohhh jisoo voice so cute
@Hale2014_2,I’m from Türkiye but I love you blackpink
@NeselmayCabanag-oz9rd,Jisoo’s face asleep:(
@ANIMONANI-i4o,Rosu jichu lisuu jennu Black pink
@SKAY-g2k,Ay que tiernaaaas
@manojmishra3047,2026
@AuroraGinny555,Blackpink Is cuteeee
@Hadiakiani-x6g,영상이 너무 좋았어요
@AliJan-g6v,I love lisa
@YaranbilalAli,Myyyyyyy
@MuneebaAhmad-s3f,Aniong aniong naeun jisoo yaaaa sooo cuteeee
@shahidakram-r7s,Hello
@anilkumars9421,Happy birthday to you Lisa
@Amayatalite,Rosie so pretty like angel and Lisa Jennie Jisoo
@humaluqman6300,Hi Lisa
@TitiSusanti-jn1yg,Ekonomine perbaiki adi dan jiso
@JuanjoseVicentegarcia-t2m,hola soy Evelin nueva subcritora y soy la fans  numero 1 de blacpik y me gusta su musica y mi mayor sueño es ir a sus konsi ertos
@กิตติพงษ์-ว3ฟ,ฉันคิดถึงพวกเขา
@milanamilana3354,
@ulugbekabdumutalov-in1mg,2026
@MohsinaIslamMoon,JISOO tooooo cuteeee
@SaleenaKtd-d8f,I can't understand koreanbut I seen with a spirit
@AuroraGinny555,블랙핑크 시애틀 레미
@attarkids-t3q,i love black pink welcome a🇲🇦🇰🇷🇲🇦🇰🇷🇲🇦🇰🇷🇲🇦🇰🇷🇲🇦🇰🇷🇲🇦🇰🇷
@ganeshkaranjivkar2693,Jennie is cute
@EmaankhanEmaankhan-h1f1i,11:39
@machhanisailung2949,Rose is my bias
@machhanisailung2949,Rose
@RevaNair-e5w,In blackpink's debut days they are all so cute
@Jisooeatz3,BLACKPİNK İN YOUR AREA!!
@khinsammo,저는 블랙핑크를 너무 좋아해요
@cuteSARA67,Hi
@MinuRahman-b5p,Jisoo  and jennie voice are so cute
@MgmgHtay-ht1kp,
@AestheticBlinky-z2u,3:40 the jisoo scream
@Leydi_ecrin,
@BaburavBange,Lisa so  cuuuuuuuuuuuute
@KaziMohammedShalahuddin,I wish I could visit them
@KaziMohammedShalahuddin,8:34 8:36
@HadNoura-f4k,I love you black pink
@birsanark123BirsanaRK,Please  give me  your  phone  number  all
@SoniyaHoquelopa,"I am a blink and i like BLACKPINK so much, BLACKPINK forever"
@Lasblinkforever,5:00 is so cute
@paragbhagbati7857,Hi I am from India.I am is your big fan my name is debanshi
@نبنبنفنفن,
@FtSamsung-m3m,Best House
@امنبيلحداد,هاي
@AungTunOo-e4b,blackpink
@AungTunOo-e4b,
@nabaayske,انيونغ انيونغ نانن جيسوو يااب جاكي ماني هاني كاني ياااهه
@nabaayske,تشيتسووو
@piya7574,Very nice.
@ZourkeneniDouamegnon-v7j,blackpink  que dieu vous accorde  une longue vie
@KoOo-m1b,2026
@DaisyRiza-o9e,2026?
@nazarovarayhonajennie,Jisoo very very cute
@mohaimenahmad5130,Ħàvé á ńíćè ðáý
@mohaimenahmad5130,I love you blackpinki am from Bangladesh 🇧🇩🇧🇩🇧🇩
@zhyryn9782,who is watching after baemon house
@AlanAlan-td6wz,Anyone in 2026
@remmiathomas2690,Sooo cute
@remmiathomas2690,Im from india kerala now in uae ras al khaimah
@remmiathomas2690,Im a fan but im soo sad i. Ant meet u guys
@remmiathomas2690,Blackpink fan but i dont have anything
@RumindiImesha,Cute jisoo
@NazzFazz-nv8mp,Any indians here
@MamurjonBoboyev-u8r,
@ThắngNguyễn-x7j6i,hello rob
@nezukokamado-d1j,they are best in cooking too
@kralicelerdunyasi,다들 너무 귀여워요 ️
@RaAl-ic8lj,아 진짜 너무 너무너무너무 귀여워요?
@ewaldbauer2189,Wow
@zobair_ahmad,Jisoo is very cute
@poojatripathi7929,It's 1 mar 2026
@kinjalpatel8896,I am your  biggest  fan
@drsajjadali6256,Like jisoo
